Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 3, 0, 0.3, 0.3, 0.304, 0.004, 1, 0.304, 0.304, 0, 320, -1, 0.304, 0.306, 0.002, 1,     0.006,
 5, 0, 0.3, 0.3, 0.304, 0.004, 1, 0.304, 0.304, 0, 320, -1, 0.304, 0.306, 0.002, 1,     0.006,
 0, 0, 0.3, 0.3, 0.302, 0.002, 1, 0.302, 0.323, 0.021, 320, -1, 0.323, 0.325, 0.002, 1,     0.025,
 4, 0, 0.3, 0.3, 0.302, 0.002, 1, 0.302, 0.333, 0.031, 320, -1, 0.333, 0.335, 0.002, 1,     0.035,
 6, 0, 0.3, 0.3, 0.302, 0.002, 1, 0.302, 0.333, 0.031, 320, -1, 0.333, 0.335, 0.002, 1,     0.035,
 2, 0, 0.3, 0.3, 0.302, 0.002, 1, 0.302, 0.343, 0.041, 320, -1, 0.343, 0.345, 0.002, 1,     0.045,
 8, 0, 0.3, 0.3, 0.302, 0.002, 1, 0.302, 0.343, 0.041, 320, -1, 0.343, 0.345, 0.002, 1,     0.045,
 1, 0, 0.3, 0.3, 0.304, 0.004, 1, 0.304, 0.353, 0.049, 320, -1, 0.353, 0.355, 0.002, 1,     0.055,
 7, 0, 0.3, 0.3, 0.304, 0.004, 1, 0.304, 0.363, 0.059, 320, -1, 0.363, 0.365, 0.002, 1,     0.065,
 9, 0, 0.3, 0.3, 0.304, 0.004, 1, 0.304, 0.373, 0.069, 320, -1, 0.373, 0.375, 0.002, 1,     0.075,
 17, 0, 0.9, 0.9, 0.902, 0.002, 1, 0.902, 0.923, 0.021, 320, -1, 0.923, 0.925, 0.002, 1,     0.025,
 11, 0, 1.1, 1.1, 1.102, 0.002, 1, 1.102, 1.123, 0.021, 220, -1, 1.123, 1.125, 0.002, 1,     0.025,
 18, 0, 1.1, 1.1, 1.102, 0.002, 1, 1.102, 1.133, 0.031, 320, -1, 1.133, 1.135, 0.002, 1,     0.035,
 10, 0, 1.1, 1.1, 1.102, 0.002, 1, 1.102, 1.143, 0.041, 3200, -1, 1.143, 1.145, 0.002, 1,     0.045,
 12, 0, 1.1, 1.1, 1.104, 0.004, 1, 1.104, 1.153, 0.049, 320, -1, 1.153, 1.155, 0.002, 1,     0.055,
 19, 0, 1.1, 1.1, 1.104, 0.004, 1, 1.104, 1.163, 0.059, 320, -1, 1.163, 1.165, 0.002, 1,     0.065,
 13, 0, 1.2, 1.2, 1.202, 0.002, 1, 1.202, 1.224, 0.022, 50000, -1, 1.224, 1.226, 0.002, 1,     0.026,
 15, 0, 1.2, 1.2, 1.204, 0.004, 1, 1.204, 1.233, 0.029, 320, -1, 1.233, 1.235, 0.002, 1,     0.035,
 14, 0, 6.2, 6.2, 6.202, 0.002, 1, 6.202, 6.224, 0.022, 50000, -1, 6.224, 6.226, 0.002, 1,     0.026,
 16, 0, 6.2, 6.2, 6.204, 0.004, 1, 6.204, 6.233, 0.029, 320, -1, 6.233, 6.235, 0.002, 1,     0.035,
#======================================
#Number of workloads:20
#Timeout workloads:0
#Timeout workloads per cent:0
#Over workloads:0
#Over workloads per cent:0
#Number of Cloudlets:40
#Over Cloudlets:0
#Over Cloudlets per cent:0
#Number of transmissions:20
#Over transmissions:20
#Over transmissions per cent:1
#======================================
#Total serve time:0.761217999999995
#CPU serve time:0.09799999999999898
#Network serve time:0.663217999999996
#Average total serve time:0.038060899999999745
#Average CPU serve time per workload:0.004899999999999949
#Average network serve time per workload:0.0331608999999998
#Average CPU serve time per Cloudlet:0.0024499999999999743
#Average network serve time per transmission:0.0331608999999998
